Point	Row	Column	_s_Position
1	1	1	0.41557059
2	1	2	0.41997159
3	1	3	0.42528352
4	1	4	0.4306438
5	1	5	0.43463486
6	1	6	0.4383176
7	1	7	0.44224194
8	1	8	0.44381985
9	1	9	0.44725126
10	1	10	0.44335827
11	1	11	0.43786529
12	2	1	0.4045037
13	2	2	0.41010311
14	2	3	0.41392392
15	2	4	0.41858473
16	2	5	0.42220178
17	2	6	0.42570123
18	2	7	0.42973387
19	2	8	0.4319073
20	2	9	0.43400681
21	2	10	0.43262413
22	2	11	0.42587009
23	3	1	0.39306968
24	3	2	0.39483118
25	3	3	0.39779243
26	3	4	0.40003845
27	3	5	0.40186772
28	3	6	0.40530294
29	3	7	0.40708351
30	3	8	0.40762654
31	3	9	0.40906364
32	3	10	0.40569288
33	3	11	0.39943445
34	4	1	0.37894034
35	4	2	0.38076949
36	4	3	0.38061389
37	4	4	0.38013661
38	4	5	0.37882358
39	4	6	0.37855932
40	4	7	0.38042557
41	4	8	0.38160068
42	4	9	0.37934437
43	4	10	0.37412044
44	4	11	0.36484855
