Point	Row	Column	MaxInt_110
1	1	1	4648.8286
2	1	2	5105.2261
3	1	3	5799.3745
4	1	4	6198.9277
5	1	5	6501.7334
6	1	6	6692.4629
7	1	7	6642.8633
8	1	8	6470.4336
9	1	9	5872.6709
10	1	10	5468.0415
11	1	11	5140.772
12	2	1	6549.0586
13	2	2	6661.4468
14	2	3	7046.7925
15	2	4	7199.4727
16	2	5	7023.1875
17	2	6	7382.5645
18	2	7	7238.4556
19	2	8	6496.2759
20	2	9	6371.7847
21	2	10	5922.5879
22	2	11	5428.5981
23	3	1	6012.6943
24	3	2	6178.5371
25	3	3	6493.6426
26	3	4	6704.5742
27	3	5	6260.0361
28	3	6	6211.2266
29	3	7	6619.2188
30	3	8	6266.8237
31	3	9	5892.4316
32	3	10	5647.4248
33	3	11	4979.2817
34	4	1	4135.9263
35	4	2	4575.4487
36	4	3	4187.4834
37	4	4	3982.6533
38	4	5	3937.0996
39	4	6	4042.0654
40	4	7	4314.647
41	4	8	4156.2969
42	4	9	4137.7466
43	4	10	3986.5366
44	4	11	3709.0403
