Point	Row	Column	Zr_at
1	1	1	0.19039547
2	1	2	0.1831066
3	1	3	0.17406252
4	1	4	0.16264488
5	1	5	0.1538431
6	1	6	0.14525901
7	1	7	0.1352936
8	1	8	0.12929168
9	1	9	0.1244753
10	1	10	0.11769461
11	1	11	0.11784771
12	2	1	0.20480958
13	2	2	0.19625898
14	2	3	0.1906758
15	2	4	0.17898422
16	2	5	0.16935261
17	2	6	0.16329148
18	2	7	0.15245549
19	2	8	0.1436664
20	2	9	0.13690652
21	2	10	0.1277193
22	2	11	0.1242177
23	3	1	0.20525172
24	3	2	0.196622
25	3	3	0.19267429
26	3	4	0.1858003
27	3	5	0.17511438
28	3	6	0.16772801
29	3	7	0.16225573
30	3	8	0.1536999
31	3	9	0.14921288
32	3	10	0.1435961
33	3	11	0.13476381
34	4	1	0.1903062
35	4	2	0.18934149
36	4	3	0.1836039
37	4	4	0.17885652
38	4	5	0.1760747
39	4	6	0.16941971
40	4	7	0.1618616
41	4	8	0.15721129
42	4	9	0.15375359
43	4	10	0.14928578
44	4	11	0.14320742
