Point	Row	Column	Norm_Int110
1	1	1	22.357952
2	1	2	22.921503
3	1	3	24.47735
4	1	4	24.799725
5	1	5	24.968277
6	1	6	25.340433
7	1	7	25.258034
8	1	8	25.135523
9	1	9	23.937374
10	1	10	23.796503
11	1	11	23.871746
12	2	1	26.473589
13	2	2	24.965544
14	2	3	24.771498
15	2	4	24.237974
16	2	5	23.043856
17	2	6	24.058573
18	2	7	24.087349
19	2	8	22.509399
20	2	9	23.445982
21	2	10	23.81909
22	2	11	24.352428
23	3	1	26.303545
24	3	2	25.236898
25	3	3	24.971718
26	3	4	24.962053
27	3	5	22.871862
28	3	6	22.882889
29	3	7	24.902029
30	3	8	24.969837
31	3	9	25.222876
32	3	10	26.427689
33	3	11	26.094387
34	4	1	24.53957
35	4	2	25.624271
36	4	3	22.242224
37	4	4	20.587456
38	4	5	20.261213
39	4	6	20.896788
40	4	7	22.949114
41	4	8	23.251829
42	4	9	24.687073
43	4	10	25.764469
44	4	11	26.686831
