Point	Row	Column	Frac_111
1	1	1	0.18044855
2	1	2	0.22484083
3	1	3	0.23225138
4	1	4	0.24188657
5	1	5	0.24586008
6	1	6	0.25097838
7	1	7	0.25115734
8	1	8	0.25320569
9	1	9	0.27025929
10	1	10	0.25658438
11	1	11	0.24317925
12	2	1	0.21999359
13	2	2	0.24487706
14	2	3	0.23617797
15	2	4	0.25035363
16	2	5	0.26416498
17	2	6	0.273247
18	2	7	0.27643555
19	2	8	0.29825541
20	2	9	0.28512716
21	2	10	0.26322946
22	2	11	0.25987116
23	3	1	0.19996968
24	3	2	0.22309676
25	3	3	0.22162803
26	3	4	0.23265925
27	3	5	0.24392073
28	3	6	0.24031873
29	3	7	0.23468867
30	3	8	0.26744688
31	3	9	0.25884342
32	3	10	0.23809898
33	3	11	0.24217321
34	4	1	0.19688828
35	4	2	0.19186702
36	4	3	0.19497541
37	4	4	0.20814039
38	4	5	0.22347167
39	4	6	0.20441157
40	4	7	0.20063557
41	4	8	0.2246681
42	4	9	0.21826762
43	4	10	0.20761207
44	4	11	0.20679814
