Point	Row	Column	110_s_Position
1	1	1	0.45340374
2	1	2	0.47931439
3	1	3	0.50617385
4	1	4	0.53751338
5	1	5	0.56748098
6	1	6	0.59236228
7	1	7	0.61999702
8	1	8	0.64150351
9	1	9	0.65713841
10	1	10	0.66766268
11	1	11	0.66677606
12	2	1	0.41953197
13	2	2	0.44236836
14	2	3	0.46573281
15	2	4	0.49349505
16	2	5	0.52190119
17	2	6	0.54328632
18	2	7	0.57084799
19	2	8	0.59215182
20	2	9	0.60902709
21	2	10	0.62563038
22	2	11	0.63118941
23	3	1	0.40449265
24	3	2	0.42372239
25	3	3	0.4418602
26	3	4	0.4607206
27	3	5	0.48263136
28	3	6	0.50595438
29	3	7	0.52156168
30	3	8	0.53784043
31	3	9	0.55146617
32	3	10	0.5540356
33	3	11	0.56554121
34	4	1	0.409926
35	4	2	0.42127675
36	4	3	0.43313739
37	4	4	0.44319645
38	4	5	0.45102599
39	4	6	0.46418521
40	4	7	0.47891319
41	4	8	0.48965114
42	4	9	0.494176
43	4	10	0.49841115
44	4	11	0.50021487
