Point	Row	Column	Y_at
1	1	1	0.068422593
2	1	2	0.063937001
3	1	3	0.058496807
4	1	4	0.053981796
5	1	5	0.0481718
6	1	6	0.042600404
7	1	7	0.036455199
8	1	8	0.032624695
9	1	9	0.0304545
10	1	10	0.027192602
11	1	11	0.036968704
12	2	1	0.075731993
13	2	2	0.07313849
14	2	3	0.066019602
15	2	4	0.062102806
16	2	5	0.0570595
17	2	6	0.051109195
18	2	7	0.046238702
19	2	8	0.042079002
20	2	9	0.038891904
21	2	10	0.037083399
22	2	11	0.0341979
23	3	1	0.079160511
24	3	2	0.073505104
25	3	3	0.068305798
26	3	4	0.064068101
27	3	5	0.059534796
28	3	6	0.054910999
29	3	7	0.05127741
30	3	8	0.047455899
31	3	9	0.043446496
32	3	10	0.0413679
33	3	11	0.040299099
34	4	1	0.073702298
35	4	2	0.06884709
36	4	3	0.065972
37	4	4	0.062660605
38	4	5	0.057965901
39	4	6	0.0551291
40	4	7	0.053107299
41	4	8	0.050080094
42	4	9	0.050450198
43	4	10	0.044549096
44	4	11	0.042075004
