Point	Row	Column	_s_MaxIntensity
1	1	1	0.063155696
2	1	2	0.064738199
3	1	3	0.060220305
4	1	4	0.057334494
5	1	5	0.056854799
6	1	6	0.051441506
7	1	7	0.044468001
8	1	8	0.046539895
9	1	9	0.044500802
10	1	10	0.042735104
11	1	11	0.071026906
12	2	1	0.079659291
13	2	2	0.07813289
14	2	3	0.075973399
15	2	4	0.071654506
16	2	5	0.070895001
17	2	6	0.066908896
18	2	7	0.061576199
19	2	8	0.0569988
20	2	9	0.053229906
21	2	10	0.052669998
22	2	11	0.057889801
23	3	1	0.083354905
24	3	2	0.076840997
25	3	3	0.077350602
26	3	4	0.075582199
27	3	5	0.069783695
28	3	6	0.069446199
29	3	7	0.067674011
30	3	8	0.062033601
31	3	9	0.059377894
32	3	10	0.052754398
33	3	11	0.058053199
34	4	1	0.068901598
35	4	2	0.069568492
36	4	3	0.0681502
37	4	4	0.065977909
38	4	5	0.063379399
39	4	6	0.062192
40	4	7	0.059381802
41	4	8	0.056158096
42	4	9	0.059762999
43	4	10	0.053780295
44	4	11	0.056075107
