Point	Row	Column	110_s_Area
1	1	1	0.09211579
2	1	2	0.0913366
3	1	3	0.088927805
4	1	4	0.086567789
5	1	5	0.085344002
6	1	6	0.083360411
7	1	7	0.080973402
8	1	8	0.081203595
9	1	9	0.077502802
10	1	10	0.085298009
11	1	11	0.094618008
12	2	1	0.099044189
13	2	2	0.09696959
14	2	3	0.096849799
15	2	4	0.095985413
16	2	5	0.096169598
17	2	6	0.094821192
18	2	7	0.093339801
19	2	8	0.0933562
20	2	9	0.092606008
21	2	10	0.0974342
22	2	11	0.1098692
23	3	1	0.11003781
24	3	2	0.1128644
25	3	3	0.1135302
26	3	4	0.1151248
27	3	5	0.11785399
28	3	6	0.1182138
29	3	7	0.11904602
30	3	8	0.1218816
31	3	9	0.12259299
32	3	10	0.1287908
33	3	11	0.1423862
34	4	1	0.1309586
35	4	2	0.13191459
36	4	3	0.13586099
37	4	4	0.13974722
38	4	5	0.14427219
39	4	6	0.1489092
40	4	7	0.1505308
41	4	8	0.15192418
42	4	9	0.1571794
43	4	10	0.16769938
44	4	11	0.18529542
