Point	Row	Column	Frac_110
1	1	1	0.76754928
2	1	2	0.77515918
3	1	3	0.76774859
4	1	4	0.75811344
5	1	5	0.7541399
6	1	6	0.74902159
7	1	7	0.74884266
8	1	8	0.74679428
9	1	9	0.72974068
10	1	10	0.74341559
11	1	11	0.75682074
12	2	1	0.78000641
13	2	2	0.75512296
14	2	3	0.76382202
15	2	4	0.74964637
16	2	5	0.73583502
17	2	6	0.726753
18	2	7	0.72356445
19	2	8	0.70174456
20	2	9	0.71487284
21	2	10	0.73677057
22	2	11	0.74012887
23	3	1	0.80003035
24	3	2	0.77690327
25	3	3	0.77837199
26	3	4	0.76734078
27	3	5	0.75607926
28	3	6	0.75968128
29	3	7	0.76531136
30	3	8	0.73255312
31	3	9	0.74115658
32	3	10	0.76190102
33	3	11	0.75782681
34	4	1	0.80311173
35	4	2	0.80813301
36	4	3	0.80502462
37	4	4	0.79185963
38	4	5	0.71483201
39	4	6	0.79558843
40	4	7	0.79936445
41	4	8	0.77533191
42	4	9	0.78173238
43	4	10	0.7923879
44	4	11	0.79320186
