FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.8306Co0.0Fe0.05998Y0.2881Zr0.65192O3,01023,1,1,1,0.086149998,5.4000001,44.141998,0.8900007761508923,2.1500018749712564,1.4900012993986849,137.32711976008267,1.3282990000000001,1.6130280000000001,0.9114081500000001,88.43410856500002,0.8305992756512709,0.6700304495831829,1.3328980494890703,1.634834293942494,1.5528750386978318,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.78616Co0.0Fe0.06034Y0.29434Zr0.64532O3,01023,2,1,2,0.09205000099999999,9.397999800000001,44.141998,0.8900031607384599,2.150007635491785,1.4900052915733766,137.32748770194436,1.3277926,1.614534,0.91252865,88.40690686900001,0.7861572080479516,0.6702877849586297,1.3316583209098012,1.63283124488571,1.5533570007763546,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.78317Co0.0Fe0.05959Y0.28954Zr0.65087O3,01023,3,1,3,0.096239999,13.39599,44.141998,0.8899964463712893,2.149991415391317,1.4899940506665406,137.32645167508994,1.3279456,1.6134465000000002,0.911670275,88.444568239,0.7831731270859662,0.6702055011675849,1.332545836128633,1.6343562925384845,1.5526838381300985,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.78749Co0.0Fe0.0615Y0.29052Zr0.64798O3,01023,4,1,4,0.09759999800000001,17.393998999999997,44.141998,0.8900020575891666,2.150004970580571,1.4900034447279304,137.3273174860084,1.3287928,1.6134050000000002,0.91183235,88.374722562,0.7874881794077002,0.6697824202457799,1.3325885134734123,1.6340760938432712,1.5539207762679574,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.78003Co0.0Fe0.0599Y0.28375Zr0.65636O3,01023,5,1,5,0.09742,21.391991,44.141998,0.8899985196924037,2.1499964239760314,1.4899975217322263,137.3267715885379,1.3287508000000001,1.6119680000000003,0.91063435,88.4479350775,0.7800312974002864,0.6698009285807419,1.3337711567326591,1.6362193252782813,1.552628350997784,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.77218Co0.0Fe0.05547Y0.29099Zr0.65354O3,01023,6,1,6,0.094140001,25.389999,44.141998,0.8899996109836399,2.149999060241377,1.4899993487254195,137.32693997477563,1.3257261000000002,1.614427,0.911962175,88.5869684015,0.7721803375177352,0.6713299308082112,1.331741268104025,1.6338389788210455,1.5501934703575468,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.79613Co0.0Fe0.06743Y0.29191Zr0.64065O3,01023,7,1,7,0.087949999,29.38802,44.141998,0.8900042318760626,2.150010223071387,1.490007084826217,137.32765297847644,1.3315916,1.6128475000000002,0.9120294750000002,88.1607906235,0.7961262144859889,0.6683762738335557,1.3330523952645161,1.6337268977257744,1.5576953428758225,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.8318Co0.0Fe0.07112Y0.2904Zr0.63849O3,01023,8,1,8,0.079530001,33.386009,44.141998,0.8899954379679612,2.149988979360805,1.489992362440744,137.3262960784564,1.3336293000000001,1.6119474999999999,0.9117472,88.035567,0.8318042637277541,0.6673484438051572,1.3337835006169898,1.6342165486669376,1.5598956280755982,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.83109Co0.0Fe0.0744Y0.28194Zr0.64366O3,01023,9,1,9,0.071110003,37.384009999999996,44.141998,0.890002968771247,2.1500071717507647,1.490004970190065,137.3274580814034,1.3361866,1.6093250000000001,0.9101912000000001,87.93822318900001,0.8310872277439715,0.6660768554116969,1.33596829214159,1.6370241441469275,1.5616355789478968,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
Ba0.86571Co0.0Fe0.10847Y0.27095Zr0.62058O3,01023,10,1,10,0.061719999000000005,41.381989000000004,44.141998,0.8900003468802096,2.1500008379690456,1.4900005807320362,137.32705352361634,1.3544305,1.601467,0.9079574750000001,86.75833712750001,0.8657096625870233,0.6571030015052153,1.342519601071421,1.6410466588559514,1.5828686679621413,9_Feb_2016,Pulsed Laser Deposition,BZYF631,400.0,18,800,Y,10.0,10,50.0,EXG,0,0,0,0,0,1000,0,1000.0,0,0,0,0,0,45,0
