Point	Row	Column	_s_FWHM
1	1	1	0.71224481
2	1	2	0.72258425
3	1	3	0.73001319
4	1	4	0.72501886
5	1	5	0.73746645
6	1	6	0.73755634
7	1	7	0.71336925
8	1	8	0.69711059
9	1	9	0.70303661
10	1	10	0.6652531
11	1	11	0.62874603
12	2	1	0.73283684
13	2	2	0.73125678
14	2	3	0.73124379
15	2	4	0.73933494
16	2	5	0.73260784
17	2	6	0.71963406
18	2	7	0.72052979
19	2	8	0.72143006
20	2	9	0.7075755
21	2	10	0.68561465
22	2	11	0.64302284
23	3	1	0.70249069
24	3	2	0.72876412
25	3	3	0.72100627
26	3	4	0.73093319
27	3	5	0.73761183
28	3	6	0.72582519
29	3	7	0.71846485
30	3	8	0.72461748
31	3	9	0.6709643
32	3	10	0.68644828
33	3	11	0.63509893
34	4	1	0.69267607
35	4	2	0.71272975
36	4	3	0.70199943
37	4	4	0.69280064
38	4	5	0.70373607
39	4	6	0.70031881
40	4	7	0.68320668
41	4	8	0.68733102
42	4	9	0.66138381
43	4	10	0.62436581
44	4	11	0.6094721
