Point	Row	Column	Fe_at
1	1	1	1.4874001
2	1	2	-0.022290003
3	1	3	1.2039798
4	1	4	1.1056901
5	1	5	1.4533602
6	1	6	1.15649
7	1	7	1.15016
8	1	8	1.32546
9	1	9	1.1400499
10	1	10	1.0069101
11	1	11	1.7922899
12	2	1	1.7445502
13	2	2	1.3133001
14	2	3	1.22708
15	2	4	1.31437
16	2	5	1.3079901
17	2	6	1.6614401
18	2	7	1.3730001
19	2	8	1.20684
20	2	9	1.3373002
21	2	10	1.34859
22	2	11	1.8364201
23	3	1	1.9798498
24	3	2	1.6851701
25	3	3	1.9527602
26	3	4	1.74693
27	3	5	1.8022
28	3	6	1.7699802
29	3	7	1.63192
30	3	8	1.5726901
31	3	9	1.6189801
32	3	10	-0.0014299999
33	3	11	2.19872
34	4	1	1.90614
35	4	2	1.8319002
36	4	3	1.9683301
37	4	4	2.1111901
38	4	5	2.18822
39	4	6	1.70033
40	4	7	2.2416601
41	4	8	1.7781399
42	4	9	2.2989199
43	4	10	2.1409099
44	4	11	2.9362803
