Point	Row	Column	Zr_at
1	1	1	14.4004
2	1	2	14.251322
3	1	3	14.191878
4	1	4	12.830081
5	1	5	12.909942
6	1	6	12.05976
7	1	7	11.57939
8	1	8	11.31436
9	1	9	10.974819
10	1	10	11.244691
11	1	11	9.7989988
12	2	1	14.704521
13	2	2	14.075151
14	2	3	13.12716
15	2	4	13.43838
16	2	5	12.692822
17	2	6	12.375291
18	2	7	12.715041
19	2	8	11.57
20	2	9	11.525881
21	2	10	10.97884
22	2	11	10.88117
23	3	1	14.997528
24	3	2	14.15265
25	3	3	13.373511
26	3	4	13.78959
27	3	5	13.17397
28	3	6	12.956271
29	3	7	12.34329
30	3	8	11.956051
31	3	9	11.16596
32	3	10	11.01538
33	3	11	10.76013
34	4	1	13.69096
35	4	2	14.654152
36	4	3	13.628191
37	4	4	13.13682
38	4	5	13.31578
39	4	6	12.01502
40	4	7	11.4561
41	4	8	12.07278
42	4	9	11.80591
43	4	10	10.73915
44	4	11	10.979211
