Point	Row	Column	y_mm
1	1	1	94.945999
2	1	2	94.945999
3	1	3	94.945999
4	1	4	94.945999
5	1	5	94.945999
6	1	6	94.945999
7	1	7	94.945999
8	1	8	94.945999
9	1	9	94.945999
10	1	10	94.945999
11	1	11	94.945999
12	2	1	82.447998
13	2	2	82.447998
14	2	3	82.447998
15	2	4	82.447998
16	2	5	82.447998
17	2	6	82.447998
18	2	7	82.447998
19	2	8	82.447998
20	2	9	82.447998
21	2	10	82.447998
22	2	11	82.447998
23	3	1	69.952003
24	3	2	69.952003
25	3	3	69.952003
26	3	4	69.952003
27	3	5	69.952003
28	3	6	69.952003
29	3	7	69.952003
30	3	8	69.952003
31	3	9	69.952003
32	3	10	69.952003
33	3	11	69.952003
34	4	1	57.453991
35	4	2	57.453991
36	4	3	57.453991
37	4	4	57.453991
38	4	5	57.453991
39	4	6	57.453991
40	4	7	57.453991
41	4	8	57.453991
42	4	9	57.453991
43	4	10	57.453991
44	4	11	57.453991
