Point	Row	Column	Pos_110
1	1	1	30.678114
2	1	2	30.672695
3	1	3	30.694338
4	1	4	30.708958
5	1	5	30.687202
6	1	6	30.674242
7	1	7	30.648222
8	1	8	30.623854
9	1	9	30.604008
10	1	10	30.594742
11	1	11	30.583153
12	2	1	30.753132
13	2	2	30.754654
14	2	3	30.751648
15	2	4	30.741922
16	2	5	30.727936
17	2	6	30.716751
18	2	7	30.698353
19	2	8	30.66765
20	2	9	30.646683
21	2	10	30.635775
22	2	11	30.621635
23	3	1	30.791985
24	3	2	30.792679
25	3	3	30.797024
26	3	4	30.77347
27	3	5	30.756117
28	3	6	30.723639
29	3	7	30.711136
30	3	8	30.699907
31	3	9	30.705307
32	3	10	30.674147
33	3	11	30.662697
34	4	1	30.832954
35	4	2	30.833561
36	4	3	30.82653
37	4	4	30.823231
38	4	5	30.813492
39	4	6	30.799622
40	4	7	30.788204
41	4	8	30.76964
42	4	9	30.754951
43	4	10	30.734344
44	4	11	30.71212
