Point	Row	Column	Zr_at
1	1	1	0.20608027
2	1	2	0.2151919
3	1	3	0.22534835
4	1	4	0.23824339
5	1	5	0.24825755
6	1	6	0.26313725
7	1	7	0.27809736
8	1	8	0.28777164
9	1	9	0.29508924
10	1	10	0.30370724
11	1	11	0.32198089
12	2	1	0.20607156
13	2	2	0.21772796
14	2	3	0.22925438
15	2	4	0.24206509
16	2	5	0.25682583
17	2	6	0.26811573
18	2	7	0.28319222
19	2	8	0.29315978
20	2	9	0.30549541
21	2	10	0.31714016
22	2	11	0.32526535
23	3	1	0.20760436
24	3	2	0.22595565
25	3	3	0.23380928
26	3	4	0.24776652
27	3	5	0.2604703
28	3	6	0.27054828
29	3	7	0.28260896
30	3	8	0.29391772
31	3	9	0.31026113
32	3	10	0.31841353
33	3	11	0.32805023
34	4	1	0.20705904
35	4	2	0.22040524
36	4	3	0.23092394
37	4	4	0.24464394
38	4	5	0.2536971
39	4	6	0.2643775
40	4	7	0.27286896
41	4	8	0.28721064
42	4	9	0.29979604
43	4	10	0.30240691
44	4	11	0.31120178
