Point	Row	Column	_s_MaxIntensity
1	1	1	0.040897407
2	1	2	0.04591915
3	1	3	0.048620332
4	1	4	0.052383244
5	1	5	0.053284667
6	1	6	0.057913098
7	1	7	0.070424043
8	1	8	0.066321082
9	1	9	0.061626468
10	1	10	0.060707729
11	1	11	0.08403451
12	2	1	0.039014738
13	2	2	0.044091679
14	2	3	0.051144831
15	2	4	0.059080411
16	2	5	0.064269878
17	2	6	0.063526459
18	2	7	0.070127763
19	2	8	0.070994735
20	2	9	0.072289869
21	2	10	0.076772235
22	2	11	0.073268138
23	3	1	0.03292305
24	3	2	0.049781002
25	3	3	0.050490398
26	3	4	0.05348723
27	3	5	0.057334512
28	3	6	0.060676508
29	3	7	0.062951408
30	3	8	0.06311217
31	3	9	0.073472857
32	3	10	0.075040951
33	3	11	0.075663321
34	4	1	0.022358341
35	4	2	0.032148991
36	4	3	0.035366151
37	4	4	0.042487007
38	4	5	0.038440447
39	4	6	0.043462422
40	4	7	0.040992342
41	4	8	0.049806964
42	4	9	0.05746888
43	4	10	0.04972088
44	4	11	0.048148032
