Point	Row	Column	d_um
1	1	1	0.1295
2	1	2	0.1348
3	1	3	0.14058
4	1	4	0.14308
5	1	5	0.14489999
6	1	6	0.14376999
7	1	7	0.14004999
8	1	8	0.13476001
9	1	9	0.12795
10	1	10	0.1192
11	1	11	0.11442
12	2	1	0.14906
13	2	2	0.15839
14	2	3	0.1657
15	2	4	0.17027999
16	2	5	0.17327
17	2	6	0.17279001
18	2	7	0.16919
19	2	8	0.16265
20	2	9	0.15397
21	2	10	0.14399999
22	2	11	0.13297001
23	3	1	0.13651
24	3	2	0.14721
25	3	3	0.15406001
26	3	4	0.1601
27	3	5	0.16301
28	3	6	0.16404
29	3	7	0.16161001
30	3	8	0.15669
31	3	9	0.14946
32	3	10	0.14066
33	3	11	0.13075
34	4	1	0.10309
35	4	2	0.10983
36	4	3	0.11584
37	4	4	0.12046
38	4	5	0.12345
39	4	6	0.12414
40	4	7	0.12394
41	4	8	0.12219
42	4	9	0.11779
43	4	10	0.11251
44	4	11	0.10598
