Point	Row	Column	Norm_Int110
1	1	1	16.664583
2	1	2	17.17452
3	1	3	18.347794
4	1	4	22.013584
5	1	5	25.159063
6	1	6	24.917542
7	1	7	25.22226
8	1	8	24.914476
9	1	9	24.612482
10	1	10	24.019892
11	1	11	23.247557
12	2	1	21.626051
13	2	2	20.931019
14	2	3	20.361582
15	2	4	19.871185
16	2	5	20.273844
17	2	6	20.745768
18	2	7	21.47967
19	2	8	22.418171
20	2	9	22.920197
21	2	10	23.101921
22	2	11	22.746729
23	3	1	20.452419
24	3	2	20.165649
25	3	3	18.628174
26	3	4	17.278532
27	3	5	17.044479
28	3	6	16.428595
29	3	7	16.619343
30	3	8	17.011375
31	3	9	18.467287
32	3	10	21.197813
33	3	11	22.052052
34	4	1	16.403234
35	4	2	18.449625
36	4	3	19.983891
37	4	4	20.070396
38	4	5	19.654871
39	4	6	20.193254
40	4	7	19.987965
41	4	8	20.122919
42	4	9	19.735224
43	4	10	19.600286
44	4	11	20.086977
