Point	Row	Column	Pos_111
1	1	1	37.822449
2	1	2	37.792328
3	1	3	37.80751
4	1	4	37.783272
5	1	5	37.753624
6	1	6	37.724178
7	1	7	37.688488
8	1	8	37.649204
9	1	9	37.644806
10	1	10	37.647804
11	1	11	37.615582
12	2	1	37.838043
13	2	2	37.841602
14	2	3	37.842739
15	2	4	37.808254
16	2	5	37.800663
17	2	6	37.79184
18	2	7	37.756279
19	2	8	37.722763
20	2	9	37.682083
21	2	10	37.675972
22	2	11	37.660625
23	3	1	37.904182
24	3	2	37.877613
25	3	3	37.914146
26	3	4	37.861256
27	3	5	37.861511
28	3	6	37.834797
29	3	7	37.809597
30	3	8	37.788361
31	3	9	37.769562
32	3	10	37.746777
33	3	11	37.698738
34	4	1	37.979313
35	4	2	37.987446
36	4	3	37.965469
37	4	4	37.963326
38	4	5	37.957123
39	4	6	37.913597
40	4	7	37.893036
41	4	8	37.889538
42	4	9	37.847099
43	4	10	37.847126
44	4	11	37.825085
