Point	Row	Column	a_Ang
1	1	1	4.1165175
2	1	2	4.1172271
3	1	3	4.1143937
4	1	4	4.1124821
5	1	5	4.1153274
6	1	6	4.1170244
7	1	7	4.1204362
8	1	8	4.1236362
9	1	9	4.1262465
10	1	10	4.1274662
11	1	11	4.128993
12	2	1	4.1067171
13	2	2	4.1065187
14	2	3	4.1069107
15	2	4	4.1081786
16	2	5	4.1100035
17	2	6	4.111464
18	2	7	4.1138687
19	2	8	4.1178885
20	2	9	4.1206384
21	2	10	4.1220703
22	2	11	4.1239276
23	3	1	4.1016607
24	3	2	4.1015701
25	3	3	4.1010056
26	3	4	4.1040683
27	3	5	4.1063285
28	3	6	4.1105647
29	3	7	4.1121974
30	3	8	4.1136656
31	3	9	4.1129594
32	3	10	4.1170373
33	3	11	4.1185379
34	4	1	4.0963421
35	4	2	4.0962639
36	4	3	4.0971751
37	4	4	4.0976033
38	4	5	4.0988669
39	4	6	4.100668
40	4	7	4.1021519
41	4	8	4.1045671
42	4	9	4.1064801
43	4	10	4.1091671
44	4	11	4.1120691
