Point	Row	Column	_s_Area
1	1	1	0.31436843
2	1	2	0.30776766
3	1	3	0.29896182
4	1	4	0.28794822
5	1	5	0.27838477
6	1	6	0.26581928
7	1	7	0.25711465
8	1	8	0.24538891
9	1	9	0.235724
10	1	10	0.22664662
11	1	11	0.22003636
12	2	1	0.31343579
13	2	2	0.30431789
14	2	3	0.29631802
15	2	4	0.28747511
16	2	5	0.27530912
17	2	6	0.2636475
18	2	7	0.25187168
19	2	8	0.24233758
20	2	9	0.23064953
21	2	10	0.22124597
22	2	11	0.21136872
23	3	1	0.30885717
24	3	2	0.29893485
25	3	3	0.29143593
26	3	4	0.2789771
27	3	5	0.26819697
28	3	6	0.25978997
29	3	7	0.24886675
30	3	8	0.23763838
31	3	9	0.2264753
32	3	10	0.21910696
33	3	11	0.20978144
34	4	1	0.30412012
35	4	2	0.29566926
36	4	3	0.28675914
37	4	4	0.27659956
38	4	5	0.26552314
39	4	6	0.25735369
40	4	7	0.24762721
41	4	8	0.23769283
42	4	9	0.22893839
43	4	10	0.22245355
44	4	11	0.21287222
