Point	Row	Column	Norm_Int110
1	1	1	23.133888
2	1	2	23.058197
3	1	3	22.267664
4	1	4	21.550205
5	1	5	21.35545
6	1	6	21.166796
7	1	7	21.264511
8	1	8	20.524715
9	1	9	20.302938
10	1	10	20.083958
11	1	11	20.623222
12	2	1	19.013346
13	2	2	18.908262
14	2	3	20.66675
15	2	4	26.197971
16	2	5	25.00124
17	2	6	25.456196
18	2	7	22.165012
19	2	8	19.10454
20	2	9	18.031168
21	2	10	17.338696
22	2	11	18.282127
23	3	1	19.505133
24	3	2	19.570005
25	3	3	19.636002
26	3	4	25.421543
27	3	5	18.028948
28	3	6	5.6279593
29	3	7	3.1012936
30	3	8	7.2943449
31	3	9	16.770891
32	3	10	23.271696
33	3	11	23.764841
34	4	1	19.891829
35	4	2	19.706963
36	4	3	19.865896
37	4	4	20.175367
38	4	5	20.251385
39	4	6	21.67873
40	4	7	24.948746
41	4	8	24.22514
42	4	9	24.332699
43	4	10	22.503267
44	4	11	19.080614
