Point	Row	Column	Ratio_200_110
1	1	1	0.10389853
2	1	2	0.094267696
3	1	3	0.081192866
4	1	4	0.074469373
5	1	5	0.068723485
6	1	6	0.073251069
7	1	7	0.063856438
8	1	8	0.064044498
9	1	9	0.059164006
10	1	10	0.057628948
11	1	11	0.069454297
12	2	1	0.075480409
13	2	2	0.074328296
14	2	3	0.091396846
15	2	4	0.10958335
16	2	5	0.14954799
17	2	6	0.13051838
18	2	7	0.10001355
19	2	8	0.076219529
20	2	9	0.083375052
21	2	10	0.067455091
22	2	11	0.067278065
23	3	1	0.078055233
24	3	2	0.057744261
25	3	3	0.063446768
26	3	4	0.086038798
27	3	5	0.24786688
28	3	6	0.5959022
29	3	7	0.66745806
30	3	8	0.44709063
31	3	9	0.25046387
32	3	10	0.13982332
33	3	11	0.11146154
34	4	1	0.057086814
35	4	2	0.061465617
36	4	3	0.056208141
37	4	4	0.055862997
38	4	5	0.056576859
39	4	6	0.063117243
40	4	7	0.090410277
41	4	8	0.099004403
42	4	9	0.093994774
43	4	10	0.076271251
44	4	11	0.066700354
