Point	Row	Column	Co_at
1	1	1	0.011069413
2	1	2	0.0090703182
3	1	3	0.0098463017
4	1	4	0.0085313814
5	1	5	0.0080853608
6	1	6	0.0087717157
7	1	7	0.0064889281
8	1	8	0.0067359856
9	1	9	0.006046325
10	1	10	0.0054396698
11	1	11	0.0049900115
12	2	1	0.010843362
13	2	2	0.011058885
14	2	3	0.010222589
15	2	4	0.0091930619
16	2	5	0.0084602237
17	2	6	0.0086796042
18	2	7	0.0070911665
19	2	8	0.0072223488
20	2	9	0.0067600035
21	2	10	0.0055383658
22	2	11	0.0061130542
23	3	1	0.01108135
24	3	2	0.011156934
25	3	3	0.010190689
26	3	4	0.010080284
27	3	5	0.009068354
28	3	6	0.0084495796
29	3	7	0.0081942212
30	3	8	0.0075002867
31	3	9	0.0068109264
32	3	10	0.0065318518
33	3	11	0.0068274429
34	4	1	0.010899329
35	4	2	0.011406145
36	4	3	0.0099579794
37	4	4	0.011007447
38	4	5	0.0099052312
39	4	6	0.0094823996
40	4	7	0.0082263257
41	4	8	0.0085751209
42	4	9	0.0079333633
43	4	10	0.0065324497
44	4	11	0.0079024862
