Point	Row	Column	Norm_d
1	1	1	0.16365771
2	1	2	0.27080581
3	1	3	0.35652429
4	1	4	0.42778513
5	1	5	0.47996476
6	1	6	0.51379716
7	1	7	0.50234842
8	1	8	0.47409365
9	1	9	0.41369441
10	1	10	0.32966387
11	1	11	0.23477176
12	2	1	0.54542786
13	2	2	0.68141788
14	2	3	0.80999559
15	2	4	0.90701598
16	2	5	0.96594745
17	2	6	1
18	2	7	0.96991044
19	2	8	0.91494203
20	2	9	0.81505942
21	2	10	0.69345367
22	2	11	0.56377512
23	3	1	0.49933949
24	3	2	0.61881697
25	3	3	0.71627772
26	3	4	0.80639952
27	3	5	0.86386323
28	3	6	0.8618083
29	3	7	0.8397916
30	3	8	0.77763098
31	3	9	0.67950976
32	3	10	0.5722149
33	3	11	0.42844561
34	4	1	0.10890944
35	4	2	0.18714222
36	4	3	0.24277118
37	4	4	0.28761193
38	4	5	0.30434462
39	4	6	0.29928079
40	4	7	0.27396154
41	4	8	0.22941436
42	4	9	0.15844709
43	4	10	0.085278146
44	4	11	0
