Point	Row	Column	MaxInt_200
1	1	1	470.09158
2	1	2	456.85629
3	1	3	401.11746
4	1	4	371.63055
5	1	5	350.29175
6	1	6	377.21881
7	1	7	328.23935
8	1	8	312.69208
9	1	9	275.85632
10	1	10	252.54848
11	1	11	294.02289
12	2	1	355.33945
13	2	2	374.02411
14	2	3	535.7796
15	2	4	852.27264
16	2	5	1139.9861
17	2	6	1028.4471
18	2	7	677.09985
19	2	8	433.8566
20	2	9	427.4624
21	2	10	313.17929
22	2	11	307.61951
23	3	1	367.40433
24	3	2	291.10229
25	3	3	337.47333
26	3	4	619.33862
27	3	5	1300.37
28	3	6	974.95801
29	3	7	595.55493
30	3	8	910.66681
31	3	9	1116.7876
32	3	10	817.54877
33	3	11	613.63629
34	4	1	213.62175
35	4	2	240.78233
36	4	3	230.42674
37	4	4	239.46567
38	4	5	246.0519
39	4	6	292.89865
40	4	7	475.05676
41	4	8	490.56781
42	4	9	445.69623
43	4	10	317.35358
44	4	11	220.53065
