Point	Row	Column	110_s_MaxIntensity
1	1	1	0.82229155
2	1	2	0.85473663
3	1	3	0.8772307
4	1	4	0.889
5	1	5	0.88983029
6	1	6	0.88004792
7	1	7	0.86044407
8	1	8	0.83216453
9	1	9	0.79658532
10	1	10	0.75519812
11	1	11	0.70951194
12	2	1	0.91276711
13	2	2	0.95187896
14	2	3	0.98001742
15	2	4	0.99618518
16	2	5	1
17	2	6	0.99168217
18	2	7	0.97197986
19	2	8	0.94205719
20	2	9	0.90336895
21	2	10	0.85754251
22	2	11	0.80627412
23	3	1	0.88129967
24	3	2	0.92131341
25	3	3	0.95144892
26	3	4	0.97063828
27	3	5	0.97832632
28	3	6	0.97447711
29	3	7	0.9595322
30	3	8	0.93433964
31	3	9	0.90006715
32	3	10	0.85811532
33	3	11	0.81003231
34	4	1	0.74768651
35	4	2	0.78252983
36	4	3	0.80994338
37	4	4	0.82894564
38	4	5	0.83895999
39	4	6	0.83972096
40	4	7	0.83132869
41	4	8	0.8142134
42	4	9	0.78909779
43	4	10	0.75694996
44	4	11	0.71892738
