Point	Row	Column	a_Ang
1	1	1	4.1349154
2	1	2	4.1325626
3	1	3	4.1305013
4	1	4	4.1283798
5	1	5	4.1252918
6	1	6	4.1218905
7	1	7	4.1185765
8	1	8	4.1166067
9	1	9	4.1138759
10	1	10	4.1116557
11	1	11	4.1108761
12	2	1	4.1371417
13	2	2	4.1321664
14	2	3	4.1283975
15	2	4	4.1267662
16	2	5	4.1264534
17	2	6	4.1257744
18	2	7	4.1264939
19	2	8	4.1269746
20	2	9	4.1223316
21	2	10	4.1137428
22	2	11	4.1106567
23	3	1	4.1370974
24	3	2	4.1344166
25	3	3	4.1304216
26	3	4	4.1258521
27	3	5	4.1271815
28	3	6	4.1286983
29	3	7	4.1293569
30	3	8	4.1263156
31	3	9	4.1257606
32	3	10	4.1271248
33	3	11	4.125917
34	4	1	4.1323791
35	4	2	4.1336255
36	4	3	4.1303897
37	4	4	4.1283531
38	4	5	4.1279378
39	4	6	4.1268158
40	4	7	4.124402
41	4	8	4.1241798
42	4	9	4.1240516
43	4	10	4.1246462
44	4	11	4.1223955
