Point	Row	Column	Pos_110
1	1	1	30.538282
2	1	2	30.556091
3	1	3	30.571714
4	1	4	30.587807
5	1	5	30.611263
6	1	6	30.63714
7	1	7	30.662401
8	1	8	30.677431
9	1	9	30.698298
10	1	10	30.715284
11	1	11	30.721251
12	2	1	30.52145
13	2	2	30.559092
14	2	3	30.587671
15	2	4	30.60006
16	2	5	30.602436
17	2	6	30.607595
18	2	7	30.602127
19	2	8	30.598476
20	2	9	30.633785
21	2	10	30.699314
22	2	11	30.722931
23	3	1	30.521784
24	3	2	30.542055
25	3	3	30.572317
26	3	4	30.607002
27	3	5	30.596903
28	3	6	30.58539
29	3	7	30.580393
30	3	8	30.603481
31	3	9	30.607702
32	3	10	30.597334
33	3	11	30.606512
34	4	1	30.557482
35	4	2	30.548042
36	4	3	30.572557
37	4	4	30.588011
38	4	5	30.591164
39	4	6	30.599682
40	4	7	30.618029
41	4	8	30.619719
42	4	9	30.620697
43	4	10	30.616173
44	4	11	30.633299
