Point	Row	Column	_s_MaxIntensity
1	1	1	0.050564535
2	1	2	0.057156637
3	1	3	0.051726282
4	1	4	0.055113483
5	1	5	0.048167843
6	1	6	0.045146871
7	1	7	0.040628243
8	1	8	0.040130574
9	1	9	0.038253207
10	1	10	0.03494022
11	1	11	0.040327378
12	2	1	0.06953451
13	2	2	0.066176638
14	2	3	0.065646805
15	2	4	0.057669416
16	2	5	0.054381914
17	2	6	0.051894069
18	2	7	0.048704378
19	2	8	0.046104033
20	2	9	0.042357314
21	2	10	0.037594128
22	2	11	0.043888912
23	3	1	0.071717076
24	3	2	0.073463537
25	3	3	0.07421881
26	3	4	0.066391632
27	3	5	0.05963555
28	3	6	0.061881531
29	3	7	0.049886547
30	3	8	0.045406587
31	3	9	0.045872029
32	3	10	0.046922132
33	3	11	0.049491152
34	4	1	0.068326212
35	4	2	0.070124254
36	4	3	0.07077992
37	4	4	0.067645378
38	4	5	0.062713265
39	4	6	0.059312399
40	4	7	0.053396966
41	4	8	0.054500505
42	4	9	0.047735736
43	4	10	0.054266993
44	4	11	0.059926443
