Point	Row	Column	MaxInt_111
1	1	1	853.10236
2	1	2	989.52698
3	1	3	1108.6162
4	1	4	1200.6875
5	1	5	1168.4393
6	1	6	1263.519
7	1	7	1235.0759
8	1	8	1264.6976
9	1	9	1245.3632
10	1	10	1179.9663
11	1	11	1049.4662
12	2	1	1191.8123
13	2	2	1140.9469
14	2	3	1029.0858
15	2	4	606.87482
16	2	5	462.45624
17	2	6	537.21545
18	2	7	1003.1683
19	2	8	1328.2644
20	2	9	1366.8022
21	2	10	1571.7502
22	2	11	1510.0657
23	3	1	1207.8058
24	3	2	1320.6669
25	3	3	1265.651
26	3	4	702.23645
27	3	5	259.78735
28	3	6	
29	3	7	
30	3	8	
31	3	9	263.65027
32	3	10	465.81754
33	3	11	603.3551
34	4	1	760.97015
35	4	2	1011.3478
36	4	3	961.17157
37	4	4	899.8045
38	4	5	933.62439
39	4	6	892.88159
40	4	7	483.17093
41	4	8	416.18436
42	4	9	447.21481
43	4	10	567.63098
44	4	11	708.94617
