Point	Row	Column	Zr_at
1	1	1	0.4629201
2	1	2	0.45975924
3	1	3	0.46427178
4	1	4	0.46283248
5	1	5	0.46204349
6	1	6	0.45913795
7	1	7	0.46002707
8	1	8	0.46146706
9	1	9	0.46067694
10	1	10	0.45914301
11	1	11	0.46144307
12	2	1	0.46046516
13	2	2	0.46194512
14	2	3	0.46233407
15	2	4	0.46269765
16	2	5	0.46109316
17	2	6	0.46172252
18	2	7	0.46273291
19	2	8	0.45871204
20	2	9	0.46110326
21	2	10	0.45756468
22	2	11	0.45587078
23	3	1	0.4562968
24	3	2	0.4586055
25	3	3	0.46291465
26	3	4	0.46062702
27	3	5	0.46423611
28	3	6	0.46542954
29	3	7	0.46405256
30	3	8	0.46435854
31	3	9	0.46418482
32	3	10	0.46126696
33	3	11	0.45939529
34	4	1	0.45708117
35	4	2	0.45544171
36	4	3	0.45607424
37	4	4	0.45460236
38	4	5	0.45781332
39	4	6	0.45904779
40	4	7	0.45961022
41	4	8	0.46262431
42	4	9	0.46072504
43	4	10	0.45851144
44	4	11	0.45818645
