Point	Row	Column	a_Ang
1	1	1	4.1896253
2	1	2	4.189249
3	1	3	4.189714
4	1	4	4.1902881
5	1	5	4.1895676
6	1	6	4.1884871
7	1	7	4.189589
8	1	8	4.1895723
9	1	9	4.1899061
10	1	10	4.1900778
11	1	11	4.1915054
12	2	1	4.1883368
13	2	2	4.1878004
14	2	3	4.18857
15	2	4	4.1887298
16	2	5	4.1911936
17	2	6	4.1946449
18	2	7	4.1958709
19	2	8	4.1971722
20	2	9	4.1962605
21	2	10	4.191463
22	2	11	4.1895947
23	3	1	4.1891689
24	3	2	4.1881862
25	3	3	4.1876955
26	3	4	4.1872396
27	3	5	4.1868949
28	3	6	4.1861677
29	3	7	4.1856971
30	3	8	4.184021
31	3	9	4.1841598
32	3	10	4.1840053
33	3	11	4.1842756
34	4	1	4.1890483
35	4	2	4.1893797
36	4	3	4.1885934
37	4	4	4.1882715
38	4	5	4.1871014
39	4	6	4.1864824
40	4	7	4.1859722
41	4	8	4.1855111
42	4	9	4.1848545
43	4	10	4.1846747
44	4	11	4.1837668
