Point	Row	Column	Frac_200
1	1	1	0
2	1	2	0
3	1	3	0
4	1	4	0
5	1	5	0.053129207
6	1	6	0.054468688
7	1	7	0.060632996
8	1	8	0.063573435
9	1	9	0.068594366
10	1	10	0
11	1	11	0
12	2	1	0.077289082
13	2	2	0.076354049
14	2	3	0.080770001
15	2	4	0.083112136
16	2	5	0.11232893
17	2	6	0.22843361
18	2	7	0.34918633
19	2	8	0.33400574
20	2	9	0.18726155
21	2	10	0.10696384
22	2	11	0.085790724
23	3	1	0.064468943
24	3	2	0.059532017
25	3	3	0.057022046
26	3	4	0.062493943
27	3	5	0.065984502
28	3	6	0.055606354
29	3	7	0.059340376
30	3	8	0.061272915
31	3	9	0.058109995
32	3	10	0.05993722
33	3	11	0.067929544
34	4	1	0
35	4	2	0
36	4	3	0
37	4	4	0
38	4	5	0
39	4	6	0
40	4	7	0.060732678
41	4	8	0
42	4	9	0
43	4	10	0
44	4	11	0
