Point	Row	Column	MaxInt_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	303.25754
6	1	6	324.24832
7	1	7	346.2178
8	1	8	351.67883
9	1	9	354.80219
10	1	10	
11	1	11	
12	2	1	388.61069
13	2	2	408.67831
14	2	3	461.03909
15	2	4	508.42484
16	2	5	730.7876
17	2	6	1118.3333
18	2	7	898.72437
19	2	8	920.65527
20	2	9	841.74304
21	2	10	555.04681
22	2	11	409.01239
23	3	1	317.10822
24	3	2	316.10349
25	3	3	322.57965
26	3	4	376.19586
27	3	5	409.51123
28	3	6	352.83755
29	3	7	377.9014
30	3	8	382.34601
31	3	9	344.38464
32	3	10	327.10742
33	3	11	357.77084
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	343.90872
41	4	8	
42	4	9	
43	4	10	
44	4	11	
