Point	Row	Column	PeakArea_110
1	1	1	11.010404
2	1	2	11.111427
3	1	3	11.922819
4	1	4	11.396107
5	1	5	11.996008
6	1	6	12.596416
7	1	7	12.298905
8	1	8	12.155171
9	1	9	11.922045
10	1	10	11.556113
11	1	11	10.956733
12	2	1	9.7525167
13	2	2	10.038621
14	2	3	10.205417
15	2	4	10.439617
16	2	5	11.075533
17	2	6	9.1055002
18	2	7	6.3275161
19	2	8	6.653893
20	2	9	9.7279158
21	2	10	10.645347
22	2	11	10.635674
23	3	1	10.075665
24	3	2	10.159841
25	3	3	10.143994
26	3	4	10.361454
27	3	5	10.275256
28	3	6	10.539312
29	3	7	10.628472
30	3	8	10.331913
31	3	9	10.205464
32	3	10	10.087491
33	3	11	9.8912802
34	4	1	12.320562
35	4	2	12.147237
36	4	3	11.426971
37	4	4	11.860431
38	4	5	11.64905
39	4	6	12.429285
40	4	7	12.185345
41	4	8	11.791029
42	4	9	12.255997
43	4	10	11.730985
44	4	11	12.185369
