Point	ASR
1	7.7440262e+08
2	1.977221e+08
3	1.8917917e+08
4	2.763345e+08
5	3.7133773e+08
6	8.2511418e+08
7	2.1670078e+08
8	3.2627261e+08
9	7.9859302e+08
10	7.2156102e+08
11	3.5799421e+08
12	5.2751738e+08
13	8.4663098e+08
14	1.4989766e+09
15	5.3249997e+08
16	2.627723e+09
17	6.4213523e+08
18	4.8579075e+08
19	3.5870234e+08
20	1.0731995e+09
21	2.8859926e+08
22	5.3919782e+08
23	6.4591142e+08
24	1.5379572e+09
25	2.3678231e+09
26	8.2456218e+08
27	1.1055767e+09
28	1.201974e+09
29	1.2437565e+09
30	5.9645619e+08
31	4.4860058e+08
32	1.5429242e+08
33	4.6012176e+08
34	1.6625317e+09
35	1.8598228e+09
36	3.5782365e+08
37	1.5055716e+09
38	3.6867594e+08
39	2.5521329e+09
40	1.258522e+09
41	1.6874342e+09
42	1.8424499e+08
43	6.6350445e+08
44	7.7785837e+08
45	6.7292915e+08
46	1.9043958e+09
47	5.7628275e+08
48	7.2481069e+08
49	7.9983533e+08
50	1.488578e+09
51	1.5861902e+09
52	1.278e+09
53	1.9138593e+09
54	1.907575e+09
55	1.4492035e+09
56	4.9362525e+08
57	5.9377203e+08
58	8.6425222e+08
59	5.4938976e+08
60	2.7175782e+10
61	1.5063937e+09
62	2.5136166e+09
63	1.0710137e+09
64	2.7805293e+08
65	1.4143451e+09
66	9.1734509e+08
67	1.349102e+09
68	1.20033e+09
69	2.1991148e+09
70	6.353177e+10
71	2.2104873e+09
72	1.6895485e+09
73	6.3124275e+08
74	1.062432e+09
75	8.4980147e+08
76	9.8212467e+08
77	1.4878301e+08
78	1.8851576e+09
79	2.0109143e+09
80	7.3796009e+09
81	2.1212035e+09
82	1.3549705e+09
83	1.8944684e+09
84	9.6549216e+08
85	2.3891467e+08
86	2.1144804e+09
87	94284224
88	2.9144557e+08
89	1.0974629e+09
90	1.477177e+09
91	1.5031026e+09
92	1.8078982e+09
93	2.2968755e+09
94	1.3323498e+09
95	3.9166141e+08
96	1.6754113e+09
97	1.9798003e+08
98	1.3741829e+08
99	3.2977958e+08
100	2.3714202e+09
101	7.0234355e+08
102	35122064
103	1.0984525e+09
104	8.3860102e+08
105	3.1285866e+08
106	6.9248838e+08
107	8.7008608e+08
108	5.7531514e+08
109	1.072169e+09
110	1.2247185e+09
111	1.4115176e+09
112	8.5844806e+08
113	3.9302832e+08
114	9.9100454e+08
115	97326544
116	1.5616261e+08
117	5.2967251e+08
118	2.394332e+08
119	2.6011445e+08
120	4.1734093e+08
121	94891488
122	2.4559651e+08
123	3.4705174e+08
124	6.9768493e+08
125	34140316
126	6.9764966e+08
127	6.814473e+08
128	1.3775256e+08
129	2.4473006e+08
130	72096408
131	1.7011725e+08
132	52876460
