Point	ASR
1	1.1303451e+09
2	1.1129856e+09
3	1.003054e+09
4	9.4035405e+08
5	2.6684688e+08
6	6.0514835e+08
7	7.4758598e+08
8	1.4403923e+11
9	9.3776582e+08
10	1.3571617e+09
11	6.9473811e+08
12	6.568505e+08
13	4.105025e+08
14	1.4426194e+09
15	1.0106519e+09
16	1.6539822e+09
17	6.4136243e+08
18	4.4893674e+08
19	5.2877088e+08
20	4.9091469e+08
21	2.6565622e+08
22	6.7685082e+08
23	1.7873338e+08
24	2.0431285e+08
25	1.1317582e+09
26	1.2663761e+09
27	1.1958346e+09
28	5.0914317e+08
29	2.938608e+08
30	3.9678317e+08
31	3.50916e+08
32	3.4117702e+08
33	4.5889789e+08
34	7.561817e+08
35	3.4023453e+08
36	1.0432067e+09
37	6.2276858e+08
38	9.5966547e+08
39	2.4896179e+09
40	3.5786339e+08
41	4.6959741e+08
42	2.8057565e+08
43	3.6505462e+08
44	2.5478355e+08
45	9.9456851e+08
46	3.2214205e+09
47	41118420
48	3129968.8
49	1996676.9
50	1102645.6
51	1687035.4
52	2381515.8
53	563394.44
54	52361240
55	82130656
56	2.2469613e+08
57	59524700
58	1599573.4
59	1071314.5
60	2129685.8
61	36932564
62	2270114.8
63	3081902.5
64	1819981.8
65	928026.5
66	74081896
67	18340618
68	44008060
69	9906698
70	16342565
71	3294902.2
72	1712199.4
73	35666500
74	23015622
75	49893204
76	78642456
77	52210128
78	31631754
79	23351458
80	2995822.8
81	12364052
82	2933619.2
83	828125.81
84	33595876
85	20633038
86	12798848
87	46574112
88	543181.62
89	7941004
90	3.3231766e+08
91	8.9095565e+08
92	34425260
93	23797250
94	17889800
95	12541238
96	21755214
97	21698980
98	24926338
99	35165732
100	5.601975e+08
101	4.648112e+08
102	71857960
103	1.778771e+08
104	26446242
105	80911720
106	77628752
107	26505932
108	24639826
109	41245340
110	27788644
111	61458976
112	1.2613778e+08
113	7.1590611e+08
114	1.3529898e+08
115	29601028
116	24902148
117	26180212
118	34185240
119	28076414
120	27156160
121	22749530
122	1.0829384e+08
123	1.2845972e+08
124	3424.6501
125	85487448
126	66574120
127	80980832
128	16570330
129	29475364
130	16434299
131	66930376
132	30725718
