Point	ASR
1	8951340
2	9730769
3	7039681
4	29468140
5	6044738.5
6	62188140
7	1.2195662e+08
8	89284064
9	3248501
10	640529.88
11	8359778
12	7518459.5
13	1963055.6
14	1229619.4
15	2468349.2
16	570701.75
17	619176.5
18	1115893.8
19	9589712
20	1386384.9
21	5870380
22	14943300
23	6978734
24	9068716
25	10831897
26	4578243
27	3060853.8
28	57361712
29	6607712
30	31733228
31	28861120
32	10411238
33	4487137
34	8605136
35	12318185
36	23900608
37	87474504
38	1.2110808e+08
39	40652208
40	36429908
41	53435348
42	19225290
43	18962654
44	34943936
45	29562386
46	20194786
47	22612618
48	1.6757318e+08
49	1.067199e+08
50	47267460
51	21786002
52	1.2057746e+08
53	30174998
54	60711908
55	34240220
56	3885207.8
57	26961776
58	1.3905538e+08
59	2.366323e+08
60	74163888
61	52909448
62	2.4288282e+08
63	2.047376e+08
64	1.634247e+08
65	1.4414664e+08
66	27904946
67	19119418
68	91238136
69	20388936
70	1.2798849e+08
71	1.9542088e+08
72	1.5606082e+08
73	1.4859733e+08
74	1.68794e+08
75	75732800
76	22542812
77	18951972
78	1.5746605e+08
79	72419992
80	1.5150644e+09
81	3.0566438e+08
82	21375396
83	75952400
84	35782740
85	1.6326229e+08
86	2.0409827e+08
87	1.278845e+08
88	9961990
89	2611386
90	66314936
91	4535203
92	3.154159e+08
93	3.185135e+08
94	12956556
95	65189304
96	26825118
97	44184300
98	25939188
99	7367035
100	8743681
101	5.3199731e+08
102	7820366.5
103	46118580
104	5.1101459e+08
105	2.2556635e+08
106	20121900
107	29515262
108	11202919
109	1.0606017e+08
110	40895684
111	21213290
112	14768941
113	16919904
114	14774282
115	1.1287742e+08
116	8683362
117	47903004
118	36870140
119	1.2473002e+08
120	83283624
121	11894698
122	30982386
123	18355698
124	8428893
125	66281320
126	1.2423428e+08
127	1.2060574e+08
128	33153228
129	38535716
130	20158972
131	32351178
132	14952410
