Point	Co_at
1.	0.30371427
2.	0.32201356
3.	0.35136097
4.	0.37435073
5.	0.39448678
6.	0.41829345
7.	0.4317224
8.	0.4436827
9.	0.45225927
10.	0.46278778
11.	0.46610197
12.	0.31504973
13.	0.33419988
14.	0.35827717
15.	0.37738872
16.	0.39403218
17.	0.41357136
18.	0.42274306
19.	0.43452904
20.	0.44097057
21.	0.45056927
22.	0.45364138
23.	0.32638517
24.	0.34638619
25.	0.36519335
26.	0.38042673
27.	0.39357758
28.	0.40884926
29.	0.41376371
30.	0.42537534
31.	0.42968186
32.	0.4383508
33.	0.4411808
34.	0.35320577
35.	0.37847376
36.	0.3857007
37.	0.39430021
38.	0.401121
39.	0.40702397
40.	0.39926788
41.	0.41141598
42.	0.40852779
43.	0.41649581
44.	0.41573514
45.	0.3483004
46.	0.36994642
47.	0.37856466
48.	0.38630022
49.	0.39269868
50.	0.39971989
51.	0.39640364
52.	0.40767824
53.	0.40785706
54.	0.41472838
55.	0.4170903
56.	0.3483004
57.	0.36994642
58.	0.37856466
59.	0.38630022
60.	0.39269868
61.	0.39971989
62.	0.39640364
63.	0.40767824
64.	0.40785706
65.	0.41472838
66.	0.4170903
67.	0.32749942
68.	0.33291015
69.	0.34681803
70.	0.35010929
71.	0.35189685
72.	0.36238607
73.	0.37817856
74.	0.38412639
75.	0.39642115
76.	0.39979008
77.	0.41722676
78.	0.32920608
79.	0.33665018
80.	0.3506124
81.	0.35489315
82.	0.35931596
83.	0.37054007
84.	0.38453933
85.	0.39222276
86.	0.4042354
87.	0.40697284
88.	0.42170533
89.	0.32943362
90.	0.33714885
91.	0.35111833
92.	0.355531
93.	0.36030519
94.	0.37162726
95.	0.38538743
96.	0.39330227
97.	0.40527731
98.	0.40793055
99.	0.42230247
100.	0.33751174
101.	0.35485163
102.	0.36907843
103.	0.37817457
104.	0.39542237
105.	0.41022283
106.	0.41549502
107.	0.4316251
108.	0.44226471
109.	0.44192898
110.	0.44350105
111.	0.3358051
112.	0.3511116
113.	0.36528405
114.	0.3733907
115.	0.38800325
116.	0.40206885
117.	0.40913427
118.	0.42352873
119.	0.43445048
120.	0.43474621
121.	0.43902247
122.	0.33409846
123.	0.34737158
124.	0.36148965
125.	0.36860687
126.	0.38058412
127.	0.39391485
128.	0.4027735
129.	0.41543236
130.	0.42663623
131.	0.42756343
132.	0.43454392
