Point	Ba_at
1.	0.45089905
2.	0.44244761
3.	0.4307022
4.	0.42901692
5.	0.4212988
6.	0.41089284
7.	0.41062602
8.	0.40851158
9.	0.40794104
10.	0.40245861
11.	0.40766928
12.	0.4387991
13.	0.43248281
14.	0.42417657
15.	0.42443457
16.	0.41840788
17.	0.41157758
18.	0.41327653
19.	0.41173884
20.	0.41214782
21.	0.40919334
22.	0.41232464
23.	0.42669917
24.	0.42251801
25.	0.41765095
26.	0.41985223
27.	0.41551694
28.	0.41226231
29.	0.41592706
30.	0.41496614
31.	0.41635459
32.	0.41592807
33.	0.41698
34.	0.40030694
35.	0.40073842
36.	0.40313816
37.	0.40947493
38.	0.40708388
39.	0.41133446
40.	0.41957569
41.	0.42044871
42.	0.42431059
43.	0.4284995
44.	0.42529429
45.	0.40330592
46.	0.40325272
47.	0.40503472
48.	0.41099302
49.	0.40992782
50.	0.41358614
51.	0.42105138
52.	0.42120554
53.	0.42448768
54.	0.42894853
55.	0.42598039
56.	0.40330592
57.	0.40325272
58.	0.40503472
59.	0.41099302
60.	0.40992782
61.	0.41358614
62.	0.42105138
63.	0.42120554
64.	0.42448768
65.	0.42894853
66.	0.42598039
67.	0.41566018
68.	0.41234615
69.	0.41208365
70.	0.41710619
71.	0.42119133
72.	0.42375897
73.	0.42915164
74.	0.42318824
75.	0.42565324
76.	0.42894813
77.	0.42619741
78.	0.41493695
79.	0.41285526
80.	0.41230026
81.	0.41686407
82.	0.42090431
83.	0.4224244
84.	0.42701228
85.	0.42400724
86.	0.42522577
87.	0.43047235
88.	0.42833432
89.	0.41484052
90.	0.41292313
91.	0.41232914
92.	0.41683178
93.	0.42086604
94.	0.42224645
95.	0.42672704
96.	0.42411644
97.	0.42516877
98.	0.43067557
99.	0.42861926
100.	0.41141727
101.	0.41533285
102.	0.4133544
103.	0.41568577
104.	0.41950744
105.	0.41592944
106.	0.41660074
107.	0.42799306
108.	0.42314547
109.	0.43789017
110.	0.43873401
111.	0.4121405
112.	0.41482378
113.	0.41313778
114.	0.41592789
115.	0.41979446
116.	0.41726401
117.	0.41874009
118.	0.42717406
119.	0.42357293
120.	0.43636596
121.	0.4365971
122.	0.4128637
123.	0.41431466
124.	0.41292119
125.	0.41617
126.	0.4200815
127.	0.41859859
128.	0.42087945
129.	0.42635506
130.	0.42400039
131.	0.43484175
132.	0.43446017
