Point	Zr_at
1.	0.19497841
2.	0.18951277
3.	0.17819998
4.	0.15920262
5.	0.1498964
6.	0.14143167
7.	0.12817134
8.	0.12018326
9.	0.11801798
10.	0.11488565
11.	0.11046868
12.	0.1966067
13.	0.18895857
14.	0.17831241
15.	0.16180387
16.	0.15386908
17.	0.14563641
18.	0.13571531
19.	0.12701243
20.	0.12495915
21.	0.12086822
22.	0.11752076
23.	0.19823499
24.	0.18840437
25.	0.17842484
26.	0.16440511
27.	0.15784176
28.	0.14984116
29.	0.14325927
30.	0.1338416
31.	0.13190033
32.	0.12685078
33.	0.12457283
34.	0.19937654
35.	0.18292858
36.	0.17349586
37.	0.16368678
38.	0.16099259
39.	0.153613
40.	0.15623769
41.	0.14510548
42.	0.1453865
43.	0.13772656
44.	0.14106084
45.	0.20138302
46.	0.18733288
47.	0.17864221
48.	0.16943417
49.	0.16552228
50.	0.15797031
51.	0.15784429
52.	0.14704467
53.	0.14531992
54.	0.13841708
55.	0.13820684
56.	0.20138302
57.	0.18733288
58.	0.17864221
59.	0.16943417
60.	0.16552228
61.	0.15797031
62.	0.15784429
63.	0.14704467
64.	0.14531992
65.	0.13841708
66.	0.13820684
67.	0.20911224
68.	0.20704158
69.	0.20223133
70.	0.19432447
71.	0.18820377
72.	0.18090735
73.	0.16887993
74.	0.16114582
75.	0.15174668
76.	0.14838281
77.	0.13006669
78.	0.20910165
79.	0.20459831
80.	0.19888242
81.	0.19186719
82.	0.1835629
83.	0.17545606
84.	0.16459484
85.	0.1552846
86.	0.14585009
87.	0.14193293
88.	0.12756366
89.	0.20910025
90.	0.20427254
91.	0.1984359
92.	0.19153956
93.	0.18294412
94.	0.17472923
95.	0.16402349
96.	0.15450309
97.	0.14506389
98.	0.14107296
99.	0.12722991
100.	0.20905009
101.	0.19270778
102.	0.1825844
103.	0.17990848
104.	0.16097732
105.	0.14892648
106.	0.14374076
107.	0.12675993
108.	0.11715341
109.	0.11054356
110.	0.11538217
111.	0.20906068
112.	0.19515103
113.	0.18593332
114.	0.18236576
115.	0.1656182
116.	0.15437776
117.	0.14802586
118.	0.13262117
119.	0.12304998
120.	0.11699343
121.	0.11788522
122.	0.20907128
123.	0.1975943
124.	0.18928222
125.	0.18482302
126.	0.17025906
127.	0.15982905
128.	0.15231094
129.	0.13848239
130.	0.12894657
131.	0.12344331
132.	0.12038825
