Point	Y_at
1.	0.050408268
2.	0.046026056
3.	0.039736844
4.	0.037429739
5.	0.034318011
6.	0.029382035
7.	0.029480238
8.	0.027622461
9.	0.021781713
10.	0.019867957
11.	0.015760066
12.	0.049544468
13.	0.044358749
14.	0.039233852
15.	0.036372837
16.	0.033690862
17.	0.02921465
18.	0.028265099
19.	0.026719688
20.	0.021922464
21.	0.019369159
22.	0.016513219
23.	0.048680668
24.	0.042691439
25.	0.038730864
26.	0.035315938
27.	0.033063713
28.	0.029047266
29.	0.027049962
30.	0.025816914
31.	0.022063216
32.	0.018870359
33.	0.017266372
34.	0.047110761
35.	0.037859235
36.	0.037665281
37.	0.032538078
38.	0.030802534
39.	0.02802857
40.	0.024918741
41.	0.023029823
42.	0.021775115
43.	0.017278137
44.	0.017909737
45.	0.047010653
46.	0.039467979
47.	0.037758417
48.	0.033272595
49.	0.031851225
50.	0.028723653
51.	0.024700692
52.	0.02407155
53.	0.022335337
54.	0.017906014
55.	0.018722469
56.	0.047010653
57.	0.039467979
58.	0.037758417
59.	0.033272595
60.	0.031851225
61.	0.028723653
62.	0.024700692
63.	0.02407155
64.	0.022335337
65.	0.017906014
66.	0.018722469
67.	0.047728156
68.	0.047702111
69.	0.038866992
70.	0.038460051
71.	0.038708046
72.	0.032947604
73.	0.023789872
74.	0.031539552
75.	0.026178926
76.	0.022878984
77.	0.026509132
78.	0.046755324
79.	0.04589625
80.	0.038204908
81.	0.036375586
82.	0.036216822
83.	0.031579475
84.	0.023853552
85.	0.028485408
86.	0.024688727
87.	0.020621877
88.	0.022396682
89.	0.046625614
90.	0.04565547
91.	0.03811663
92.	0.036097656
93.	0.035884656
94.	0.031397055
95.	0.023862045
96.	0.02807819
97.	0.024490032
98.	0.02032093
99.	0.021848356
100.	0.042020894
101.	0.037107736
102.	0.034982763
103.	0.026231177
104.	0.024092861
105.	0.024921248
106.	0.024163473
107.	0.0136219
108.	0.017436413
109.	0.0096372943
110.	0.0023827648
111.	0.042993725
112.	0.038913594
113.	0.035644847
114.	0.028315645
115.	0.026584085
116.	0.026289377
117.	0.02409979
118.	0.016676046
119.	0.018926613
120.	0.0118944
121.	0.0064952134
122.	0.04396655
123.	0.040719453
124.	0.036306933
125.	0.030400112
126.	0.02907531
127.	0.027657505
128.	0.024036108
129.	0.019730192
130.	0.020416815
131.	0.014151506
132.	0.010607663
