Point	Row	Column	Frac_111
1	1	1	0.16562116
2	1	2	0.20633677
3	1	3	0.25756297
4	1	4	0.29913449
5	1	5	0.34476376
6	1	6	0.34472427
7	1	7	0.2915726
8	1	8	0.29937202
9	1	9	0.26152995
10	1	10	0.25343606
11	1	11	0.21202447
12	2	1	0.32113388
13	2	2	0.28984779
14	2	3	0.29879722
15	2	4	0.32450971
16	2	5	0.36302763
17	2	6	0.35053381
18	2	7	0.32308456
19	2	8	0.32357794
20	2	9	0.31070945
21	2	10	0.28515723
22	2	11	0.25534135
23	3	1	0.29120567
24	3	2	0.25746939
25	3	3	0.28036273
26	3	4	0.31064972
27	3	5	0.3161934
28	3	6	0.31603125
29	3	7	0.31507048
30	3	8	0.30685574
31	3	9	0.29430988
32	3	10	0.28232667
33	3	11	0.2381745
34	4	1	0.1836244
35	4	2	0.21781939
36	4	3	0.23111145
37	4	4	0.22298907
38	4	5	0.27523023
39	4	6	0.29630217
40	4	7	0.27747679
41	4	8	0.26197642
42	4	9	0.23062027
43	4	10	0.20202078
44	4	11	0.14341962
