Point	Row	Column	MaxInt_111
1	1	1	1626.2905
2	1	2	2038.6272
3	1	3	2569.97
4	1	4	3225.5916
5	1	5	3871.1819
6	1	6	3872.9854
7	1	7	3332.2808
8	1	8	3294.4001
9	1	9	2963.2207
10	1	10	2655.9141
11	1	11	2207.5046
12	2	1	3105.447
13	2	2	3181.4033
14	2	3	3356.4993
15	2	4	3790.854
16	2	5	4501.9761
17	2	6	4240.2983
18	2	7	3845.8022
19	2	8	3676.4927
20	2	9	3596.2747
21	2	10	3157.2468
22	2	11	2861.5376
23	3	1	2721.2976
24	3	2	2597.8914
25	3	3	2929.2312
26	3	4	3424.5566
27	3	5	3512.9976
28	3	6	3557.6899
29	3	7	3600.8032
30	3	8	3462.0139
31	3	9	3266.8579
32	3	10	2950.4578
33	3	11	2412.8718
34	4	1	1374.8519
35	4	2	1736.4567
36	4	3	1904.9331
37	4	4	1956.3463
38	4	5	2382.8325
39	4	6	2580.554
40	4	7	2439.9302
41	4	8	2184.7915
42	4	9	1895.2297
43	4	10	1674.6232
44	4	11	1158.6221
