Point	Row	Column	Fe_at
1	1	1	1.3188199
2	1	2	1.25648
3	1	3	1.252
4	1	4	1.12081
5	1	5	1.0549601
6	1	6	1.0286
7	1	7	0.80617994
8	1	8	0.86966008
9	1	9	0.83762997
10	1	10	0.87187999
11	1	11	1.11508
12	2	1	1.4013602
13	2	2	1.0910099
14	2	3	1.2960501
15	2	4	1.18593
16	2	5	1.17226
17	2	6	1.2554899
18	2	7	1.14381
19	2	8	1.14574
20	2	9	1.1407601
21	2	10	1.2103601
22	2	11	1.2926002
23	3	1	1.55741
24	3	2	1.34685
25	3	3	1.4489599
26	3	4	1.48847
27	3	5	1.46183
28	3	6	1.3878399
29	3	7	1.4586902
30	3	8	1.4134601
31	3	9	1.4350599
32	3	10	1.38924
33	3	11	1.59495
34	4	1	1.7138999
35	4	2	1.75279
36	4	3	1.7438502
37	4	4	1.7484798
38	4	5	1.8045698
39	4	6	1.7660602
40	4	7	1.76178
41	4	8	1.95382
42	4	9	1.81594
43	4	10	1.9162402
44	4	11	2.0365901
