Point	Row	Column	Co_at
1	1	1	36.094875
2	1	2	36.589062
3	1	3	37.21508
4	1	4	37.847469
5	1	5	37.907986
6	1	6	38.43758
7	1	7	38.785706
8	1	8	39.548306
9	1	9	40.16486
10	1	10	39.94355
11	1	11	40.425159
12	2	1	35.194603
13	2	2	35.650845
14	2	3	36.440235
15	2	4	36.87685
16	2	5	36.948219
17	2	6	37.674301
18	2	7	38.225479
19	2	8	38.87719
20	2	9	39.228165
21	2	10	39.47554
22	2	11	39.347466
23	3	1	34.87262
24	3	2	35.522041
25	3	3	36.15992
26	3	4	36.15691
27	3	5	36.564041
28	3	6	37.000057
29	3	7	37.816944
30	3	8	37.911903
31	3	9	38.326786
32	3	10	38.481731
33	3	11	38.700451
34	4	1	35.334858
35	4	2	35.743019
36	4	3	35.746574
37	4	4	36.070175
38	4	5	36.231876
39	4	6	36.899654
40	4	7	36.772221
41	4	8	37.06168
42	4	9	37.932838
43	4	10	37.773106
44	4	11	38.066719
