Point	Row	Column	Pos_110
1	1	1	30.720655
2	1	2	30.745724
3	1	3	30.733536
4	1	4	30.734369
5	1	5	30.769346
6	1	6	30.751194
7	1	7	30.760813
8	1	8	30.776285
9	1	9	30.810297
10	1	10	30.793806
11	1	11	30.801023
12	2	1	30.729225
13	2	2	30.728151
14	2	3	30.740314
15	2	4	30.751196
16	2	5	30.750584
17	2	6	30.759497
18	2	7	30.784508
19	2	8	30.80854
20	2	9	30.802948
21	2	10	30.783064
22	2	11	30.794313
23	3	1	30.734346
24	3	2	30.745901
25	3	3	30.759398
26	3	4	30.762911
27	3	5	30.772215
28	3	6	30.780951
29	3	7	30.784594
30	3	8	30.793928
31	3	9	30.796661
32	3	10	30.800491
33	3	11	30.807566
34	4	1	30.730608
35	4	2	30.748077
36	4	3	30.760292
37	4	4	30.778435
38	4	5	30.7918
39	4	6	30.782862
40	4	7	30.794815
41	4	8	30.806492
42	4	9	30.812241
43	4	10	30.808235
44	4	11	30.817945
