Point	Row	Column	Pos_110
1	1	1	30.111786
2	1	2	30.050758
3	1	3	30.028963
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	29.994324
9	1	9	30.071651
10	1	10	30.087385
11	1	11	30.068428
12	2	1	30.060574
13	2	2	30.035814
14	2	3	29.98818
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	30.056814
22	2	11	30.068541
23	3	1	30.132444
24	3	2	30.092249
25	3	3	30.064417
26	3	4	30.046505
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	30.088934
33	3	11	30.116785
34	4	1	30.138
35	4	2	30.15234
36	4	3	30.167505
37	4	4	30.184477
38	4	5	30.168196
39	4	6	30.174128
40	4	7	30.181995
41	4	8	30.145281
42	4	9	30.129066
43	4	10	30.146921
44	4	11	30.174767
