Point	Row	Column	Frac_110
1	1	1	0.89126539
2	1	2	0.90249193
3	1	3	1
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	1
9	1	9	1
10	1	10	1
11	1	11	1
12	2	1	0.89927566
13	2	2	0.9025138
14	2	3	1
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	1
22	2	11	1
23	3	1	0.89002901
24	3	2	0.80972588
25	3	3	0.78347111
26	3	4	1
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	1
33	3	11	1
34	4	1	1
35	4	2	0.87567234
36	4	3	0.88249856
37	4	4	0.88119781
38	4	5	1
39	4	6	0.85389525
40	4	7	0.70602638
41	4	8	1
42	4	9	1
43	4	10	0.65374434
44	4	11	1
