Point	Row	Column	d_um
1	1	1	0.26866001
2	1	2	0.28659999
3	1	3	0.30246001
4	1	4	0.31226999
5	1	5	0.31773999
6	1	6	0.31793001
7	1	7	0.31027001
8	1	8	0.29903001
9	1	9	0.28452
10	1	10	0.2669
11	1	11	0.24656001
12	2	1	0.30941001
13	2	2	0.33618
14	2	3	0.35795
15	2	4	0.37494001
16	2	5	0.38802001
17	2	6	0.39120999
18	2	7	0.3888
19	2	8	0.37577
20	2	9	0.35856
21	2	10	0.33695999
22	2	11	0.31198999
23	3	1	0.28755999
24	3	2	0.31319001
25	3	3	0.33851999
26	3	4	0.35872999
27	3	5	0.37279999
28	3	6	0.38036999
29	3	7	0.38117999
30	3	8	0.37534001
31	3	9	0.36223999
32	3	10	0.34200999
33	3	11	0.31906
34	4	1	0.22142
35	4	2	0.23908
36	4	3	0.25645
37	4	4	0.27149999
38	4	5	0.28444001
39	4	6	0.29339001
40	4	7	0.29787001
41	4	8	0.29629999
42	4	9	0.29126
43	4	10	0.27809
44	4	11	0.26282999
