Point	Row	Column	Norm_d
1	1	1	0.27822605
2	1	2	0.38388598
3	1	3	0.47729549
4	1	4	0.53507274
5	1	5	0.56728899
6	1	6	0.56840801
7	1	7	0.5232935
8	1	8	0.45709404
9	1	9	0.37163556
10	1	10	0.26786029
11	1	11	0.14806525
12	2	1	0.51822841
13	2	2	0.67589372
14	2	3	0.80411094
15	2	4	0.90417576
16	2	5	0.98121208
17	2	6	1
18	2	7	0.98580599
19	2	8	0.90906411
20	2	9	0.80770361
21	2	10	0.68048763
22	2	11	0.53342366
23	3	1	0.38954002
24	3	2	0.54049122
25	3	3	0.68967551
26	3	4	0.80870485
27	3	5	0.89157194
28	3	6	0.93615645
29	3	7	0.94092703
30	3	8	0.90653157
31	3	9	0.82937747
32	3	10	0.71023029
33	3	11	0.57506329
34	4	1	0
35	4	2	0.10401084
36	4	3	0.20631368
37	4	4	0.2949526
38	4	5	0.37116438
39	4	6	0.42387655
40	4	7	0.4502621
41	4	8	0.44101536
42	4	9	0.41133165
43	4	10	0.33376524
44	4	11	0.24388951
