Point	Row	Column	_s_FWHM
1	1	1	0.13092247
2	1	2	0.12893966
3	1	3	0.12829363
4	1	4	0.12175321
5	1	5	0.1226173
6	1	6	0.12804767
7	1	7	0.12522046
8	1	8	0.12432501
9	1	9	0.12699243
10	1	10	0.12179629
11	1	11	0.11158528
12	2	1	0.15216412
13	2	2	0.15181097
14	2	3	0.15136361
15	2	4	0.15226638
16	2	5	0.14603901
17	2	6	0.14378156
18	2	7	0.14471889
19	2	8	0.1410619
20	2	9	0.13013144
21	2	10	0.13612416
22	2	11	0.12933634
23	3	1	0.15138327
24	3	2	0.15240085
25	3	3	0.15722567
26	3	4	0.1596975
27	3	5	0.15712447
28	3	6	0.15305024
29	3	7	0.14686461
30	3	8	0.14215629
31	3	9	0.13862728
32	3	10	0.14825815
33	3	11	0.13481303
34	4	1	0.14789434
35	4	2	0.14458013
36	4	3	0.14291802
37	4	4	0.1437552
38	4	5	0.14357457
39	4	6	0.14499588
40	4	7	0.14836203
41	4	8	0.14763549
42	4	9	0.14111404
43	4	10	0.13946855
44	4	11	0.13341732
