Point	Row	Column	d_um
1	1	1	0.18059
2	1	2	0.18492
3	1	3	0.18550999
4	1	4	0.18235999
5	1	5	0.17697001
6	1	6	0.16772
7	1	7	0.15514
8	1	8	0.14202
9	1	9	0.12805
10	1	10	0.11479
11	1	11	0.10138
12	2	1	0.21720999
13	2	2	0.22403
14	2	3	0.22899
15	2	4	0.22908001
16	2	5	0.22339
17	2	6	0.21144
18	2	7	0.19873001
19	2	8	0.18431
20	2	9	0.16492
21	2	10	0.14816999
22	2	11	0.12995
23	3	1	0.20321
24	3	2	0.21055
25	3	3	0.21684
26	3	4	0.21659
27	3	5	0.21314
28	3	6	0.20480999
29	3	7	0.19461
30	3	8	0.18082
31	3	9	0.16478001
32	3	10	0.15051
33	3	11	0.13377
34	4	1	0.14911
35	4	2	0.15538
36	4	3	0.16017
37	4	4	0.16202
38	4	5	0.16348
39	4	6	0.15966
40	4	7	0.15451001
41	4	8	0.14785001
42	4	9	0.13664
43	4	10	0.12588
44	4	11	0.11381
