Point	Row	Column	Norm_d
1	1	1	0.67555749
2	1	2	0.69662178
3	1	3	0.68968868
4	1	4	0.65113711
5	1	5	0.59236032
6	1	6	0.51684701
7	1	7	0.42075515
8	1	8	0.31591964
9	1	9	0.21572091
10	1	10	0.11379996
11	1	11	0.026760874
12	2	1	0.93552661
13	2	2	0.98052549
14	2	3	1
15	2	4	0.97231179
16	2	5	0.92037976
17	2	6	0.82274234
18	2	7	0.70192093
19	2	8	0.57094282
20	2	9	0.43011701
21	2	10	0.2967101
22	2	11	0.17752263
23	3	1	0.74016339
24	3	2	0.80481344
25	3	3	0.82450873
26	3	4	0.81978363
27	3	5	0.78379333
28	3	6	0.7105763
29	3	7	0.61748731
30	3	8	0.51225436
31	3	9	0.38851842
32	3	10	0.2687569
33	3	11	0.15712078
34	4	1	0.29724002
35	4	2	0.34321043
36	4	3	0.36785161
37	4	4	0.37725767
38	4	5	0.35614926
39	4	6	0.32263193
40	4	7	0.28235814
41	4	8	0.21973945
42	4	9	0.15009937
43	4	10	0.07847207
44	4	11	0
