Point	Row	Column	Pos_110
1	1	1	30.811657
2	1	2	30.880646
3	1	3	30.923212
4	1	4	30.953617
5	1	5	30.939373
6	1	6	30.925112
7	1	7	30.89645
8	1	8	30.867479
9	1	9	30.817568
10	1	10	30.837118
11	1	11	30.870932
12	2	1	30.802507
13	2	2	30.899721
14	2	3	30.990698
15	2	4	31.059708
16	2	5	31.103382
17	2	6	31.118078
18	2	7	31.108259
19	2	8	31.094959
20	2	9	31.029804
21	2	10	30.907528
22	2	11	30.834202
23	3	1	30.81089
24	3	2	30.928135
25	3	3	31.0445
26	3	4	31.085543
27	3	5	31.106207
28	3	6	31.093466
29	3	7	31.078558
30	3	8	31.096941
31	3	9	31.110298
32	3	10	31.028185
33	3	11	30.885422
34	4	1	31.003862
35	4	2	31.052588
36	4	3	31.064602
37	4	4	31.065636
38	4	5	31.097557
39	4	6	31.104242
40	4	7	31.098246
41	4	8	31.099787
42	4	9	31.094751
43	4	10	31.076151
44	4	11	30.974831
