Point	Row	Column	MaxInt_200
1	1	1	1712.9536
2	1	2	965.28607
3	1	3	752.65771
4	1	4	995.82074
5	1	5	868.68018
6	1	6	756.80078
7	1	7	684.26373
8	1	8	756.68896
9	1	9	1066.5215
10	1	10	
11	1	11	
12	2	1	1256.5334
13	2	2	823.34467
14	2	3	1993.0692
15	2	4	1513.8383
16	2	5	1123.1462
17	2	6	997.1781
18	2	7	816.28198
19	2	8	758.39136
20	2	9	867.26477
21	2	10	671.42468
22	2	11	620.20508
23	3	1	688.96368
24	3	2	812.55823
25	3	3	1105.7184
26	3	4	880.8634
27	3	5	725.14368
28	3	6	549.77356
29	3	7	431.79977
30	3	8	
31	3	9	
32	3	10	575.22296
33	3	11	482.27451
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	313.80496
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
