Point	Row	Column	PeakArea_110
1	1	1	8.3656073
2	1	2	9.9691076
3	1	3	10.787058
4	1	4	10.518281
5	1	5	10.358377
6	1	6	9.8732042
7	1	7	9.7123652
8	1	8	9.2650175
9	1	9	7.6717458
10	1	10	7.5165381
11	1	11	9.0321093
12	2	1	8.9834232
13	2	2	11.009631
14	2	3	9.2580528
15	2	4	7.040071
16	2	5	6.5122313
17	2	6	6.9298654
18	2	7	6.7074127
19	2	8	7.4607472
20	2	9	7.8843155
21	2	10	9.294426
22	2	11	8.8989592
23	3	1	9.6338987
24	3	2	11.438856
25	3	3	7.8960128
26	3	4	6.9895301
27	3	5	6.5359397
28	3	6	6.1550217
29	3	7	5.7737336
30	3	8	6.1993561
31	3	9	6.8733401
32	3	10	8.0888548
33	3	11	9.4114084
34	4	1	8.9138346
35	4	2	8.3201103
36	4	3	8.0311232
37	4	4	8.0646114
38	4	5	7.4527459
39	4	6	6.7523856
40	4	7	6.3350782
41	4	8	6.0912242
42	4	9	6.2472525
43	4	10	6.9287844
44	4	11	7.7855411
