Point	Row	Column	MaxInt_110
1	1	1	4174.0913
2	1	2	5210.8438
3	1	3	5545.4653
4	1	4	5060.5444
5	1	5	4753.4243
6	1	6	4216.3301
7	1	7	3761.6697
8	1	8	3141.9326
9	1	9	2303.7874
10	1	10	2021.9868
11	1	11	2071.4136
12	2	1	5860.6899
13	2	2	7448.3159
14	2	3	4976.5859
15	2	4	3301.6077
16	2	5	2791.4919
17	2	6	2605.5305
18	2	7	2439.2422
19	2	8	2375.1162
20	2	9	2546.7661
21	2	10	3048.4519
22	2	11	2672.925
23	3	1	5354.2998
24	3	2	6273.9082
25	3	3	3433.6082
26	3	4	2754.875
27	3	5	2431.0857
28	3	6	2173.7458
29	3	7	1921.0341
30	3	8	1912.2292
31	3	9	1925.7188
32	3	10	2123.0906
33	3	11	2623.2629
34	4	1	2593.0132
35	4	2	2386.3474
36	4	3	2292.6184
37	4	4	2360.6013
38	4	5	2007.5801
39	4	6	1731.6912
40	4	7	1533.0088
41	4	8	1452.6058
42	4	9	1370.0526
43	4	10	1399.8337
44	4	11	1580.1846
