Point	Row	Column	Co_at
1	1	1	0.45402482
2	1	2	0.45714629
3	1	3	0.45699269
4	1	4	0.45775515
5	1	5	0.45937106
6	1	6	0.45851365
7	1	7	0.45976683
8	1	8	0.46126419
9	1	9	0.46067566
10	1	10	0.4558
11	1	11	0.45292804
12	2	1	0.45451671
13	2	2	0.45633066
14	2	3	0.45683894
15	2	4	0.45556033
16	2	5	0.45547211
17	2	6	0.45625615
18	2	7	0.4575634
19	2	8	0.45633084
20	2	9	0.4582175
21	2	10	0.45853055
22	2	11	0.45877507
23	3	1	0.45506626
24	3	2	0.45503011
25	3	3	0.45481393
26	3	4	0.45447063
27	3	5	0.45535326
28	3	6	0.45413849
29	3	7	0.45565346
30	3	8	0.45486736
31	3	9	0.45727536
32	3	10	0.45775658
33	3	11	0.45720714
34	4	1	0.45920798
35	4	2	0.45807815
36	4	3	0.45654684
37	4	4	0.45580289
38	4	5	0.45732129
39	4	6	0.45802963
40	4	7	0.45620814
41	4	8	0.45852298
42	4	9	0.45714468
43	4	10	0.4576582
44	4	11	0.45820606
