Point	Row	Column	a_Ang
1	1	1	4.0991054
2	1	2	4.0901694
3	1	3	4.0846763
4	1	4	4.0807619
5	1	5	4.0825949
6	1	6	4.0844316
7	1	7	4.0881281
8	1	8	4.0918717
9	1	9	4.0983377
10	1	10	4.0958023
11	1	11	4.0914249
12	2	1	4.1002932
13	2	2	4.0877061
14	2	3	4.0759988
15	2	4	4.0671649
16	2	5	4.0615945
17	2	6	4.0597234
18	2	7	4.0609732
19	2	8	4.0626674
20	2	9	4.0709877
21	2	10	4.0866985
22	2	11	4.0961804
23	3	1	4.0992045
24	3	2	4.0840421
25	3	3	4.069108
26	3	4	4.0638676
27	3	5	4.0612345
28	3	6	4.0628576
29	3	7	4.0647588
30	3	8	4.0624146
31	3	9	4.0607138
32	3	10	4.0711951
33	3	11	4.0895524
34	4	1	4.0743103
35	4	2	4.0680742
36	4	3	4.0665398
37	4	4	4.0664077
38	4	5	4.0623364
39	4	6	4.0614848
40	4	7	4.0622487
41	4	8	4.0620522
42	4	9	4.0626941
43	4	10	4.0650659
44	4	11	4.0780358
