Point	Row	Column	FWHM_111
1	1	1	0.44274294
2	1	2	0.47640374
3	1	3	0.47980583
4	1	4	0.50615895
5	1	5	0.50859058
6	1	6	0.51372111
7	1	7	0.5394184
8	1	8	0.56409436
9	1	9	0.64368904
10	1	10	0.53125405
11	1	11	0.81318581
12	2	1	0.45415491
13	2	2	0.44930905
14	2	3	0.79981148
15	2	4	0.83514273
16	2	5	0.82434744
17	2	6	0.7549457
18	2	7	0.73563391
19	2	8	0.86748308
20	2	9	0.72115499
21	2	10	0.59757137
22	2	11	0.58662832
23	3	1	0.47817296
24	3	2	0.55050385
25	3	3	0.72000611
26	3	4	0.75600857
27	3	5	0.68536192
28	3	6	0.79673648
29	3	7	0.65644532
30	3	8	0.74850363
31	3	9	0.78996068
32	3	10	0.76894462
33	3	11	0.65070343
34	4	1	0.91708499
35	4	2	0.83306623
36	4	3	0.8080129
37	4	4	0.80255443
38	4	5	0.80122608
39	4	6	0.81029463
40	4	7	0.58449835
41	4	8	0.8083204
42	4	9	0.72269565
43	4	10	0.87823224
44	4	11	0.79799759
